sample_id,sample_name,seed,offset_std,noise_std,m,k,spatial_tau,feature_tau,lambda_feat,nearest_mse,gaussian_mse,feature_mse,nearest_acc,true_in_knn_acc,true_in_feat_knn_acc,gaussian_w_max,feature_w_max,gaussian_ratio,feature_ratio,feature_vs_gaussian_ratio
4,airFoil2D_SST_87.422_2.992_1.895_3.128_1.0_10.656,1,0.002,0.0,512,512,0.001,0.01,10.0,9664.248046875,9543.462890625,3686.244384765625,0.216796875,0.884765625,0.884765625,0.018833493813872337,0.589380145072937,0.9875018567751832,0.3814310608426071,0.3862585758453359
4,airFoil2D_SST_87.422_2.992_1.895_3.128_1.0_10.656,1,0.002,0.001,512,512,0.001,0.01,10.0,11144.166015625,11455.1015625,4396.0537109375,0.1953125,0.875,0.875,0.018839092925190926,0.5821413993835449,1.0279011947990584,0.3944713049656552,0.3837638354363128
4,airFoil2D_SST_87.422_2.992_1.895_3.128_1.0_10.656,1,0.002,0.005,512,512,0.001,0.01,10.0,11144.1484375,11455.087890625,4396.04248046875,0.1953125,0.875,0.875,0.018839092925190926,0.5821345448493958,1.027901589329041,0.39447091943571844,0.3837633130747544
4,airFoil2D_SST_87.422_2.992_1.895_3.128_1.0_10.656,1,0.002,0.01,512,512,0.001,0.01,10.0,11144.125,11455.0703125,4396.0302734375,0.1953125,0.875,0.875,0.018839092925190926,0.582105278968811,1.0279021737911231,0.3944706536796294,0.3837628363258901
4,airFoil2D_SST_87.422_2.992_1.895_3.128_1.0_10.656,1,0.002,0.05,512,512,0.001,0.01,10.0,11143.951171875,11454.9228515625,4395.9228515625,0.1953125,0.875,0.875,0.018839092925190926,0.5813812613487244,1.0279049750749383,0.3944671673236409,0.3837583987711342
4,airFoil2D_SST_87.422_2.992_1.895_3.128_1.0_10.656,2,0.002,0.0,512,512,0.001,0.01,10.0,10816.42578125,10453.666015625,4936.8046875,0.2265625,0.896484375,0.896484375,0.018961837515234947,0.6206309795379639,0.9664621407328625,0.4564173773611821,0.47225582681912764
4,airFoil2D_SST_87.422_2.992_1.895_3.128_1.0_10.656,2,0.002,0.001,512,512,0.001,0.01,10.0,6045.4580078125,5954.63720703125,2339.730224609375,0.193359375,0.875,0.875,0.019012831151485443,0.6125051975250244,0.9849770190010612,0.3870228230161816,0.39292573892606186
4,airFoil2D_SST_87.422_2.992_1.895_3.128_1.0_10.656,2,0.002,0.005,512,512,0.001,0.01,10.0,6045.46240234375,5954.6474609375,2339.735595703125,0.193359375,0.875,0.875,0.019012831151485443,0.6125034093856812,0.9849779991401415,0.3870234301343167,0.3929259643080124
4,airFoil2D_SST_87.422_2.992_1.895_3.128_1.0_10.656,2,0.002,0.01,512,512,0.001,0.01,10.0,6045.46875,5954.66162109375,2339.74267578125,0.193359375,0.875,0.875,0.019012831151485443,0.6124732494354248,0.9849793072032256,0.38702419490320744,0.3929262189295463
4,airFoil2D_SST_87.422_2.992_1.895_3.128_1.0_10.656,2,0.002,0.05,512,512,0.001,0.01,10.0,6045.5205078125,5954.76904296875,2339.79833984375,0.193359375,0.875,0.875,0.019012831151485443,0.6115753650665283,0.9849886432894448,0.38703008894272667,0.3929284784951531
